2025-04-19 21:31:16,314 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/9999 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,319 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,321 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,322 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/?skip=0&limit=5 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,328 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,333 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,339 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,344 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,350 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,357 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,359 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,362 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,368 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,369 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/1 "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,371 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,373 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,380 | INFO | httpx | HTTP Request: GET http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,382 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,421 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/token "HTTP/1.1 401 Unauthorized"
2025-04-19 21:31:16,427 | INFO | httpx | HTTP Request: POST http://testserver/v1/users/ "HTTP/1.1 401 Unauthorized"
